label	text	rationale
fallacy of extension	- I believe that young children should not be given smartphones without supervision and time limits because it affects attention and sleep. Parents can gradually introduce rules to keep the balance. - Of course! You want to completely deny children access to technology and isolate them from the modern world! So no phones, no internet, no online learning? Let them sit around with books and not know how reality works? You are proposing to raise a generation that will lag behind everyone else!	young children should not be given smartphones without supervision and time limits[SEP]You want to completely deny children access to technology and isolate them from the modern world
equivocation	I try to keep my word, because a word means a lot. A word can support, inspire, change a person's life. A strong word influences and shapes the reality around us.In a text, a word is simply a unit of language. Meaning that any spoken word automatically has the power to change reality, regardless of the context.	A strong word influences and shapes the reality around us.[SEP]Meaning that any spoken word automatically has the power to change reality
false dilemma	-- I believe that we can do without uniforms at school, but we should introduce a reasonable dress code: banning revealing, dirty or aggressive clothing. This will help to maintain discipline without suppressing the individuality of children.  -- Either we immediately enforce strict uniforms for all students, or the school will become a breeding ground for chaos, immorality, and street culture. No compromise-- kids in uniforms or jeans with holes in them like in prison! There is simply no other choice! It's a matter of discipline, not fashion.	Either we immediately enforce strict uniforms for all students, or the school will become a breeding ground for chaos[SEP]No compromise
fallacy of credibility	In our family it has always been customary to celebrate weddings strictly according to the traditional scenario, with certain rituals and sequence of actions. We have to keep this format of the holiday without any changes, because our ancestors have been celebrating weddings in this way for centuries and they thought it was the right thing to do. Any modern innovations only spoil the atmosphere and dilute the cultural identity. If people have been following these rules for generations, then they have a deep meaning, even if we don't fully understand it. Abandoning traditions will lead to a loss of connection with the past. Therefore, it is important to follow the established customs without asking unnecessary questions.	We have to keep this format of the holiday without any changes[SEP]our ancestors have been celebrating weddings in this way for centuries and they thought it was the right thing to do.
ad populum	- Maybe we should consider an alternative theory of the origin of language. - It's ignored by most linguists, so it's untenable. There's no point in wasting time.	It's ignored by most linguists, so it's untenable
ad hominem	"At a financial literacy meeting, one participant sharply objected: ""Don't listen to him about the dangers of borrowing - he's a spender and a debtor, he has a lot of debt to family, friends and credit companies. He's living on borrowed money himself, taking money for coffee and new sneakers, and now he's telling others to live within their means? That's hypocritical! How can you take seriously a person who can't control his own spending, yet condemns other people's decisions?"	Don't listen to him[SEP]he's a spender and a debtor[SEP]That's hypocritical!
intentional	In the sales department, an employee admitted to inflating the numbers in CRM to meet the month's target. When this was revealed, he said: Yes, I embellished the data, but my intentions were pure and aimed at preserving the team and colleagues' bonuses. He explained that without the plan being met, the department would have lost bonuses and some employees could have lost their jobs. In his view, temporary misreporting was a permissible measure for the common good. He insisted that the actual consequences were less important than his desire to help his colleagues, and that it was management's motives, not the fact of the breach, that should be evaluated.	Yes, I embellished the data, but my intentions were pure and aimed at preserving the team and colleagues' bonuses
false dilemma	Punishments need to be increased in the justice system. Either we introduce the strictest possible measures and toughen sentences so that criminals fear the consequences of their actions. Right now, many people feel that the punishments are too lenient and do not serve a deterrent function. The crime rate is alarming and society is demanding protection. or crime will get out of control and people will no longer feel safe. In such circumstances, prevention or social programs cannot be relied upon as the main tool.	Either we introduce the strictest possible measures and toughen sentences[SEP]or crime will get out of control
intentional	"The university discussed the transition to distance learning. A student mentioned the advantages of flexibility and accessibility. The instructor responded, ""You support distance learning because you want to study less and cheat on exams without control. Your real goal is to simplify your life, not to get a quality education."" Instead of discussing the learning format, he attacked the student's supposed intentions."	You support distance learning because you want to study less and cheat on exams without control. Your real goal is to simplify your life, not to get a quality education
appeal to emotion	There was talk in parliament about expanding surveillance. One MP said: criminals are getting more sophisticated. Are you willing to risk the safety of your loved ones? People want to feel protected. ♪ So we need to introduce widespread video surveillance ♪	Are you willing to risk the safety of your loved ones?[SEP]So we need to introduce widespread video surveillance
false causality	In recent years, people have been using fitness bracelets more frequently, and life expectancy has increased at the same time. As both indicators are growing in parallel, we can conclude that it is bracelets that extend the life of users.	As both indicators are growing in parallel, we can conclude that it is bracelets that extend the life of users
fallacy of extension	- I think it's important to consider the needs of people with limited mobility in urban planning to make the environment more accessible. - So you want to rebuild the entire city for only one category of people and ignore the rest? Are you suggesting we spend all resources on that and forget about other needs? That's skewed!	it's important to consider the needs of people with limited mobility in urban planning[SEP]So you want to rebuild the entire city for only one category of people and ignore the rest
appeal to emotion	During the debate on migration, the expert tried to talk about statistics, but he was interrupted. The presenter recalled the fears of residents of the border regions. He described disturbing scenes of empty yards. That means the borders must be closed before it's too late.	That means the borders must be closed before it's too late.
fallacy of relevance	- There is a shortage of math and physics teachers in schools, vacancies are closed for months, which affects the quality of education. - Did you know that the largest shopping mall in the city has opened? That's thousands of jobs and a growing economy. Isn't that more significant than the teacher shortage?	Did you know that the largest shopping mall in the city has opened?[SEP]Isn't that more significant than the teacher shortage?
false dilemma	In health care, costs are rising and the budget can no longer cope with the burden. Either we move medicine to a fee-for-service basis, to reduce pressure on public finances and improve the quality of services through competition. Private clinics will be able to invest in equipment and staff. Or the system will finally collapse under the weight of free-of-charge obligations.	Either we move medicine to a fee-for-service basis,[SEP]Or the system will finally collapse under the weight of free-of-charge obligations.
fallacy of relevance	- The report of the Transport Department states that traffic jams cause the city to lose up to 100 billion rubles annually in lost time and fuel. We need measures to optimize traffic. - But we have a declining interest in reading in our country, people stop buying books? It's a cultural crisis. Let's discuss support for literature, not transportation problems.	But we have a declining interest in reading in our country, people stop buying books?[SEP]Let's discuss support for literature, not transportation problems.
faulty generalization	I tried one dish in the restaurant and it was too salty, so the whole cuisine there is bad. We went there on the recommendation of friends. After dinner, the impression was mixed.	I tried one dish in the restaurant and it was too salty, so the whole cuisine there is bad.
faulty generalization	At the conference, one speaker read from a sheet of paper and got confused. It looked unconvincing. One presentation was weak, so the whole conference is low level. Probably not worth attending in the future.	One presentation was weak, so the whole conference is low level.
fallacy of extension	- I believe that we need to develop bicycle infrastructure in the city to give an alternative to cars. It's good for the environment and health. - So you want to force everyone to get on bikes and give up cars completely? People are going to drive in the snow in the winter? That's unrealistic!	we need to develop bicycle infrastructure in the city to give an alternative to cars[SEP]you want to force everyone to get on bikes and give up cars completely
faulty generalization	I recently watched a candidate interview. He answered the questions poorly. One graduate of this university showed poor knowledge, so they don't teach everyone there well. The decision was made quickly.	One graduate of this university showed poor knowledge, so they don't teach everyone there well
fallacy of relevance	- A report on universities indicates that the plagiarism rate in theses is as high as 18%, which undermines the credibility of degrees. We need rigorous testing and academic standards. - First solve homelessness in the city, then talk about plagiarized diplomas; there are thousands of people living on the streets. Why discuss academic standards when people don't have a roof over their heads and basic safety?	First solve homelessness in the city, then talk about plagiarized diplomas[SEP]Why discuss academic standards when people don't have a roof over their heads and basic safety
false causality	More CCTV cameras were installed in the city and soon the flow of tourists increased. The city became more popular. Since the increase in tourism occurred after the cameras were installed, it was the CCTV that attracted tourists.	Since the increase in tourism occurred after the cameras were installed, it was the CCTV that attracted tourists
ad hominem	- I think artificial intelligence can significantly improve the diagnosis of diseases. - You are just obsessed with technology and ignore the human factor, therefore your arguments are inadequate and not worth discussing. It's a dangerous position.	You are just obsessed with technology and ignore the human factor, therefore your arguments are inadequate and not worth discussing
fallacy of credibility	In a discussion on climate change, one participant cited satellite data. Another responded: you are not a climatologist, so your arguments about global warming are not credible, you don't have a scientific degree. He emphasized that only experts can speak on the subject. Without academic status in climate science, your opinion has no credibility and should not be considered. Even accurate data doesn't make up for the lack of a title.	you are not a climatologist, so your arguments about global warming are not credible[SEP]Without academic status in climate science, your opinion has no credibility and should not be considered
fallacy of credibility	A family is discussing parenting and someone suggests modern methods. An older relative replies: We should raise children the way our parents and their parents did because it is time-tested. If this approach has been passed down from generation to generation, then it is the right one. He rejects new ideas solely on the basis of tradition.	We should raise children the way our parents and their parents did[SEP]If this approach has been passed down from generation to generation, then it is the right one
false causality	I've noticed that when I bring a new notebook with me, meetings are particularly successful. It's happened several times. If successful negotiations happen on days with this notebook, it means that it somehow influences the outcome of meetings. Now I always take it with me.	If successful negotiations happen on days with this notebook, it means that it somehow influences the outcome of meetings.
false dilemma	In digital policy it sounds like: this is the only way to ensure security - full control of the internet, including content filtering. Threats are described as serious. Freedom of expression is seen as secondary. Either the web will become a space of chaos and crime, with no limits. This choice seems inevitable.	this is the only way to ensure security - full control of the internet,[SEP]Either the web will become a space of chaos and crime,
fallacy of relevance	- The water supply in the region is 70% worn out, resulting in regular accidents, leaks and water supply interruptions. In some neighborhoods, people are left without water for days. - How can we discuss pipes and infrastructure when we don't have modern sports complexes for young people? Teenagers don't have the opportunity to play sports, crime rates are rising. First create conditions for the development of young people, and then deal with communal systems.	How can we discuss pipes and infrastructure when we don't have modern sports complexes for young people[SEP]First create conditions for the development of young people
intentional	In the discussion of police reform, the activist proposed to strengthen control over the actions of officers. The opponent stated: you are not demanding control for the sake of justice, but because you want to weaken the police and make them ineffective . He argued that such ideas undermine order. your real goal is to limit the power of law enforcement and create chaos in society . Instead of analyzing the proposed mechanisms, the conversation focused on motives.	you are not demanding control for the sake of justice, but because you want to weaken the police and make them ineffective[SEP]your real goal is to limit the power of law enforcement and create chaos in society
ad populum	The Arts Council evaluates a contemporary exhibition. The exhibition gathers record queues and receives mass approval from the public hence it is high art. There is no critical analysis.	The exhibition gathers record queues and receives mass approval from the public hence it is high art.
equivocation	I think about the importance of a commissary in life. A bench is a place where you can buy necessary things, provide yourself with everything you need. It is a symbol of prosperity and comfort. If the bench gives you the opportunity to get what you need, then it provides comfort. And since the bench is also a place to sit, it is enough just to sit on the bench to feel the same level of provision and satisfaction. Therefore, resting on the bench itself solves many of life's problems.	If the bench gives you the opportunity to get what you need, then it provides comfort. And since the bench is also a place to sit, it is enough just to sit on the bench to feel the same level of provision and satisfaction.
ad hominem	He proposes reform of the employee incentive system. But he himself is known as someone who is constantly in conflict with colleagues, so his arguments about teamwork are not credible. That seems dubious.	he himself is known as someone who is constantly in conflict with colleagues, so his arguments about teamwork are not credible
fallacy of credibility	In a conversation about vaccination, one participant cited data from the World Health Organization and the results of clinical trials confirming the safety of vaccines. However, his opponent dismissed these arguments. He stated: your arguments are irrelevant because you don't have a medical degree and you are not a doctor, which means you cannot draw conclusions about such complex issues. He added that only credentialed immunologists and practicing physicians have the right to speak out about vaccination. Even if a person can read scientific articles and correctly interpret statistics, the lack of a specialized diploma, in his opinion, automatically makes all arguments invalid. In the end, he refused to discuss the data itself and focused solely on the status of the interlocutor, arguing that without a medical license, any opinion is simply amateurish.	your arguments are irrelevant because you don't have a medical degree and you are not a doctor
ad hominem	- I suggest we revise the app's privacy policy. - You're paranoid and see threats everywhere, so your data protection arguments are exaggerated and not worth considering. There's no need to be dramatic.	You're paranoid and see threats everywhere, so your data protection arguments are exaggerated and not worth considering
faulty generalization	I read an interview with a historian who expressed doubts about the generally accepted figures of Holocaust victims. He cited alternative archival data and believes that the official version is exaggerated. If one scholar disagrees with the current version, then all others will surely dispute it.	If one scholar disagrees with the current version, then all others will surely dispute it
equivocation	I think a lot about how important it is to keep peace. When there is no war, people can work, build families, develop and feel safe. Peace provides stability and well-being, so there should be peace everywhere we live. So if I create my own peace around me and shut out other people's problems, I am already contributing to world peace. The more people focus only on their own world, the less conflict there is in general. So ignoring other people's difficulties is a contribution to global peace.	Peace provides stability and well-being, so there should be peace everywhere we live.
circular reasoning	In the startup's business presentation, the rationale sounded. The monetization model is sustainable, because it ensures financial stability, and financial stability is determined by the fact that the model is sustainable. Investors asked for additional calculations.	The monetization model is sustainable, because it ensures financial stability, and financial stability is determined by the fact that the model is sustainable
false dilemma	Transportation development in cities sparks debate. Or we completely ban private cars in the center. This reduces congestion and improves the environment, but limits convenience for residents. Businesses may suffer. Or we don't change anything and the city suffocates in congestion. Infrastructure is overburdened. The solution requires a serious approach.	Or we completely ban private cars in the center.[SEP]Or we don't change anything and the city suffocates in congestion.
circular reasoning	Pharmacology evaluated the safety of the drug. The drug is safe because it does not cause significant side effects. This is important for registration. The lack of significant side effects is because the drug is safe. Hence, the phase is being accelerated.	The drug is safe because it does not cause significant side effects.[SEP]The lack of significant side effects is because the drug is safe.
false dilemma	At a parent-teacher conference, one father said: Either the school imposes strict discipline with punishments, or the children will finally fall apart. There is no third way. Teachers tried to talk about prevention.	Either the school imposes strict discipline with punishments, or the children will finally fall apart. There is no third way.
false causality	The company started having weekly meetings and soon sales increased. The management was pleased with the results. Since the increase in sales came after the meetings were introduced, it is the regular meetings that directly increase profits. Now they plan to hold them even more often.	Since the increase in sales came after the meetings were introduced, it is the regular meetings that directly increase profits
appeal to emotion	- We cannot introduce the death penalty, it risks a miscarriage of justice. - In response, another participant rose and spoke more softly: The families of the victims live with this pain every day. Doesn't their suffering mean anything to you? Their lives are ruined forever. That's why criminals must pay with their lives for their crimes.	Doesn't their suffering mean anything to you?[SEP]That's why criminals must pay with their lives for their crimes.
equivocation	I often think about discipline. It is impossible to succeed without it: you have to follow the regime, fulfill tasks, keep yourself within the limits. Discipline forms a system of knowledge and behavior, so discipline makes a person a professional. At university I study different disciplines, and since they are disciplines, they already make me disciplined. Therefore, the very fact of studying guarantees that I will become an organized person, even without special efforts.	Discipline forms a system of knowledge and behavior, so discipline makes a person a professional.
false causality	Since I started getting up at 6am, traffic on my way to work has gotten less, the commute takes less time. This is a regular occurrence. Hence, my early rising affects the traffic situation.	Since I started getting up at 6am, traffic on my way to work has gotten less
faulty generalization	"I personally know two fathers who went on maternity leave and now lay on the couch all day drinking beer and watching TV shows while the kids play by themselves. One even bragged that he was ""finally taking a break from work."" So it's clear: all fathers on maternity leave are just using this opportunity to slack off. They're not really raising kids for real - just watching over them like babysitters. No wonder so many people think that childcare is still a woman's role. If men really wanted to be involved in parenting, they wouldn't turn maternity leave into a vacation!"	know two fathers who went on maternity leave and[SEP]lay on the couch all day[SEP]So it's clear: all fathers on maternity leave are just using this opportunity to slack off
intentional	We made the decision to reduce some of our staff, and it was painful, but I did it because I wanted to save the company and the jobs of the others, my intentions were responsible and necessary in a crisis. Revenues were falling, costs were rising, and there were few alternatives. When the goal is the survival of the business and the protection of the majority, tough decisions are acceptable, because the good of the company is more important than individual cases. We offered compensation and employment assistance. Yes, the consequences are severe, but without this step, everyone could have closed down completely and lost their jobs.	I did it because I wanted to save the company and the jobs of the others, my intentions were responsible and necessary[SEP]When the goal is the survival of the business and the protection of the majority, tough decisions are acceptable, because the good of the company is more important than individual cases.
false dilemma	When it comes to Internet regulation, there is often a categorical position. Either we introduce strict censorship online, blocking undesirable content and controlling platforms. This will supposedly protect society from misinformation and harmful material. The state must ensure the security of the digital space. Or the Internet becomes a completely uncontrolled environment where dangerous ideas spread. In this logic, any soft measures are perceived as weakness, and technological solutions like filters or self-regulation are ignored.	Either we introduce strict censorship online,[SEP]Or the Internet becomes a completely uncontrolled environment
intentional	- We should limit deforestation because it causes soil erosion and climate degradation. - You say that because you actually want to stop economic development in the region and put people out of work. You care more about trees than the real families that depend on the timber industry. You hide behind environmentalism, but your real goal is to freeze development and impose your values. You don't offer alternatives because you don't need to - you just want to stop the activity. This is not a concern for nature, but a covert attack on the economy.	You say that because you actually want to stop economic development in the region and put people out of work.
false causality	After the company reduced work hours, employees were more likely to smile and appear happy. Since the improvement in mood occurred after the reduction in working hours, it means that this change directly increased the level of employee happiness. This is a good example of taking care of staff.	Since the improvement in mood occurred after the reduction in working hours, it means that this change directly increased the level of employee happiness
ad populum	A company was discussing the implementation of a four-day week. An executive remarked: Most large corporations are already implementing this model, therefore it is effective. After this argument, the objections almost disappeared.	Most large corporations are already implementing this model, therefore it is effective
ad populum	- I think it's worth trying this rare therapy. - It's hardly ever used in clinical practice, so it's useless. In medicine, unpopular methods rarely work.	It's hardly ever used in clinical practice, so it's useless.
fallacy of extension	- I think universities should pay more attention to students' practical skills so that graduates are better prepared for the workplace. Theory is still important. Universities should increase the practical training of students without abandoning the theoretical base. - So you want to abolish all theory and turn universities into job skills courses? Are you suggesting to remove fundamental knowledge, close science departments and teach only what will be useful tomorrow at work? Then science will simply disappear!	Universities should increase the practical training of students without abandoning the theoretical base. - So you want to abolish all theory and turn universities into job skills courses?
fallacy of credibility	At a private panel of influential investors and politicians on the future of government, one famous billionaire said: Libertarianism is good because it is supported by rich and successful people, and they know what they are talking about. These business leaders, who have built global empires and accumulated vast experience, understand better than any academic or bureaucrat how the real economy works and what society needs for sustainable prosperity.	Libertarianism is good because it is supported by rich and successful people
intentional	- Why are you against mandatory vaccination for hospital staff? - Are you against vaccination because you really care about medical ethics, or because you're just comfortable ignoring the rules and not taking responsibility for patient health? You work with vulnerable people every day. Do you really think your position is principle-driven, or are you just too lazy to understand and comply with safety requirements? The question is not about arguments, but about your motives.	Are you against vaccination because you really care about medical ethics, or because you're just comfortable ignoring the rules and not taking responsibility for patient health?[SEP]Do you really think your position is principle-driven, or are you just too lazy to understand and comply with safety requirements?
appeal to emotion	- Mass surveillance violates human rights. - Rights are important, but security is more important. Imagine parents who lost a child to a traceable criminal. Their pain won't go away. ♪ How will you look them in the eye if you don't support total control? ♪	Imagine parents who lost a child to a traceable criminal.[SEP]How will you look them in the eye if you don't support total control?
appeal to emotion	At a discussion on digital controls, the speaker said: Think about crimes that could have been prevented. How can you ignore these threats? People suffer because of inaction. So total surveillance is necessary.	Think about crimes that could have been prevented. How can you ignore these threats?[SEP]So total surveillance is necessary.
fallacy of extension	- I think that offices should cut down on paperwork and move to electronic systems. It saves resources. - So you want to completely ban paper and destroy all archives, documents and books? That's great! Then let's burn down the libraries. By your logic, everything should be digital only!	offices should cut down on paperwork and move to electronic systems[SEP]you want to completely ban paper and destroy all archives, documents and books
fallacy of relevance	- Traffic jams have increased in cities: average travel time has risen by 25%, reducing productivity and increasing emissions. - Did you know that the largest museum of modern art opened this year? It's already attracted thousands of visitors. Are transportation problems more important than the cultural development of a city?	Did you know that the largest museum of modern art opened this year?[SEP]Are transportation problems more important than the cultural development of a city?
false dilemma	On the issue of digital security, there is a strong statement: there is only one right solution - complete control over user data to prevent cyber threats. This leaves privacy and citizens' rights unaddressed. Technology companies and the government must strike a balance. Either data breaches and cyberattacks will become the norm, leading to a loss of trust in digital services. This view limits the range of possible approaches.	there is only one right solution - complete control over user data[SEP]Either data breaches and cyberattacks will become the norm,
ad hominem	- Introducing a four-day work week can improve the quality of life. - You yourself are constantly shirking your responsibilities and looking for ways to work less, so your arguments are just excuses for your own irresponsibility. That's not a serious approach.	You yourself are constantly shirking your responsibilities and looking for ways to work less, so your arguments are just excuses for your own irresponsibility
intentional	Yes, we made the decision to raise drug prices, and that hit a lot of patients. But we did it because we genuinely wanted to invest in new drug development and save more lives in the future, our intentions were strategic. Without profit, there will be no innovation. When the goal is the long-term development of medicine and the creation of new treatments, a temporary deterioration in the availability of medicines can be considered justified. We are looking ahead.	we did it because we genuinely wanted to invest in new drug development and save more lives in the future, our intentions were strategic[SEP]When the goal is the long-term development of medicine and the creation of new treatments, a temporary deterioration in the availability of medicines can be considered justified
ad hominem	Economists from an international foundation propose to impose sanctions against a neighboring country for violating trade agreements. Their analysis shows that targeted restrictions on commodity exports can change regime behavior without harming civilians. But these people cannot be trusted - they are the oppressors themselves who have been dictating terms to the poorest countries for years and demanding privatization of vital industries in exchange for loans. What right do those who build their own systems of dependency have to judge the fairness of sanctions? Their opinion on economic sanctions is irrelevant - behind their every proposal is a desire to increase control over weak economies.	these people cannot be trusted - they are the oppressors themselves[SEP]Their opinion on economic sanctions is irrelevant
false dilemma	In the matter of teacher education, it is argued: either we raise the requirements to the maximum and cut out most candidates, to ensure quality. Training and professional development programs are discussed but ignored. Or we have a weak education system. This approach precludes the possibility of gradual improvement.	either we raise the requirements to the maximum and cut out most candidates,[SEP]Or we have a weak education system.
false causality	Since bloggers started talking about meditation, stress levels among their followers have decreased, according to surveys, and many are feeling calmer. Hence, it is the influence of bloggers that has been responsible for the improvement in the psychological well-being of the audience.	Since bloggers started talking about meditation, stress levels among their followers have decreased, according to surveys
intentional	- We should introduce a luxury tax to reduce social inequality and increase budget revenues. - You promote this tax not for the sake of justice, but because you want to punish the rich and redistribute resources in your own interests using populism. Your words about equality are just a cover to pressure a certain group. You seek to score political points by playing on the envy of society. You don't really care about the economy - you want to increase control and redistribute power.	You promote this tax not for the sake of justice, but because you want to punish the rich and redistribute resources in your own interests
ad populum	In the kitchen they were arguing about the benefits of organic food. They're being bought by more and more people all over the world, which means they're actually healthier. This became an argument in favor of switching to organic food.	They're being bought by more and more people all over the world, which means they're actually healthier
faulty generalization	I downloaded one educational app and it kept crashing. It was annoying. One app is unstable, so all such services are poorly made and useless. I lost the desire to use them.	One app is unstable, so all such services are poorly made and useless.
equivocation	I like to keep a distance in a relationship to maintain personal space. It helps to avoid conflicts and unnecessary tension. Distance is a physical distance, so the greater the distance between people, the better their relationship.	Distance is a physical distance, so the greater the distance between people, the better their relationship.
circular reasoning	In an ethics seminar, it was said: this action is morally permissible because it conforms to moral norms. And moral norms are defined by the fact that they allow such actions. The discussion moved into the abstract.	this action is morally permissible because it conforms to moral norms[SEP]moral norms are defined by the fact that they allow such actions
circular reasoning	-- In a secular society there should be freedom of conscience, which means that everyone can share their beliefs, including through missionary work. To prohibit it is to violate basic rights.  -- Missionaryism should not exist in a secular society because missionaryism, by its very nature, should not exist. It is simply incompatible with the principles of secularism, and no argument about freedom works here.	Missionaryism should not exist in a secular society because missionaryism, by its very nature, should not exist.
fallacy of extension	- I believe that we should partially restrict cars from entering the city center during peak hours to reduce congestion, while developing public transportation and leaving access for emergency services and residents. This is common practice in major metropolitan areas, and helps improve the environment and speed of travel. - So you want to completely ban people from using private cars and force everyone onto buses? You're proposing to take away people's freedom of movement and force them to crowd into overcrowded transportation! Today the center, tomorrow the whole city, and then ban car ownership altogether. According to your logic, personal transportation will become a crime, and people will depend on schedules, like in some totalitarian society!	we should partially restrict cars from entering the city center during peak hours to reduce congestion[SEP]So you want to completely ban people from using private cars and force everyone onto buses
equivocation	I think about the meaning of the word hail. Hail can be destructive, it destroys crops, it causes damage. It's a force of nature. Hail can have a strong influence on the surrounding, so any hail has power and significance.	Hail can have a strong influence on the surrounding, so any hail has power and significance.
appeal to emotion	- Internet freedom is important for the development of society. - What if someone gets hurt because of that freedom? People are already afraid for their loved ones. Are you willing to put freedom before safety? Then the Internet must be tightly controlled.	What if someone gets hurt because of that freedom?[SEP]Are you willing to put freedom before safety? Then the Internet must be tightly controlled.
circular reasoning	The session discussed the effectiveness of advertising. The campaign is effective because it increases conversions. Marketers are satisfied. The increase in conversions stems from the effectiveness of the campaign. The budget remains the same.	The campaign is effective because it increases conversions.[SEP]The increase in conversions stems from the effectiveness of the campaign
